PID;USUARIO;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TEMPO+;COMANDO
1381;felipe;39;19;673208;19056;10864;S;31,2;0,2;10:44.81;tracker-miner-f
4493;felipe;20;0;15,7g;1,5g;72288;S;31,2;19,2;29:13.38;code
1618;felipe;20;0;5268752;512772;92152;S;18,8;6,3;29:18.98;gnome-shell
4469;felipe;20;0;756116;204708;79944;S;18,8;2,5;19:03.49;code
86348;felipe;20;0;446388;37024;14468;S;12,5;0,5;2:48.55;tracker-store
692;root;-51;0;0;0;0;S;6,2;0,0;8:41.06;irq/64-nvidia
1379;felipe;9;-11;3064664;15656;12120;S;6,2;0,2;5:31.76;pulseaudio
1459;felipe;20;0;1203400;67800;29408;R;6,2;0,8;35:38.92;Xorg
4433;felipe;20;0;5181928;120208;62804;S;6,2;1,5;2:51.91;code
128964;felipe;20;0;20880;4196;3444;R;6,2;0,1;0:00.01;top
1;root;20;0;167376;10124;7928;S;0,0;0,1;0:01.71;systemd
2;root;20;0;0;0;0;S;0,0;0,0;0:00.00;kthreadd
3;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;rcu_gp
4;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;rcu_par_gp
6;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/0:0H-kblockd
9;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;mm_percpu_wq
10;root;20;0;0;0;0;S;0,0;0,0;0:01.54;ksoftirqd/0
11;root;20;0;0;0;0;I;0,0;0,0;0:14.03;rcu_sched
12;root;rt;0;0;0;0;S;0,0;0,0;0:00.06;migration/0
13;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/0
14;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/0
15;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/1
16;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/1
17;root;rt;0;0;0;0;S;0,0;0,0;0:00.16;migration/1
18;root;20;0;0;0;0;S;0,0;0,0;0:01.28;ksoftirqd/1
20;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/1:0H-kblockd
21;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/2
22;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/2
23;root;rt;0;0;0;0;S;0,0;0,0;0:00.18;migration/2
24;root;20;0;0;0;0;S;0,0;0,0;0:01.38;ksoftirqd/2
26;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/2:0H-kblockd
27;root;20;0;0;0;0;S;0,0;0,0;0:00.00;cpuhp/3
28;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;idle_inject/3
29;root;rt;0;0;0;0;S;0,0;0,0;0:00.18;migration/3
30;root;20;0;0;0;0;S;0,0;0,0;0:01.62;ksoftirqd/3
32;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kworker/3:0H-kblockd
33;root;20;0;0;0;0;S;0,0;0,0;0:00.00;kdevtmpfs
34;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;netns
35;root;20;0;0;0;0;S;0,0;0,0;0:00.00;rcu_tasks_kthre
36;root;20;0;0;0;0;S;0,0;0,0;0:00.00;rcu_tasks_rude_
37;root;20;0;0;0;0;S;0,0;0,0;0:00.00;rcu_tasks_trace
38;root;20;0;0;0;0;S;0,0;0,0;0:00.00;kauditd
42;root;20;0;0;0;0;S;0,0;0,0;0:00.02;khungtaskd
43;root;20;0;0;0;0;S;0,0;0,0;0:00.00;oom_reaper
44;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;writeback
45;root;20;0;0;0;0;S;0,0;0,0;0:00.00;kcompactd0
46;root;25;5;0;0;0;S;0,0;0,0;0:00.00;ksmd
47;root;39;19;0;0;0;S;0,0;0,0;0:00.00;khugepaged
94;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kintegrityd
95;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kblockd
96;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;blkcg_punt_bio
97;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;tpm_dev_wq
98;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;ata_sff
99;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;md
100;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;edac-poller
101;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;devfreq_wq
102;root;rt;0;0;0;0;S;0,0;0,0;0:00.00;watchdogd
104;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;pm_wq
105;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;irq/25-AMD-Vi
107;root;20;0;0;0;0;S;0,0;0,0;0:04.36;kswapd0
108;root;20;0;0;0;0;S;0,0;0,0;0:00.00;ecryptfs-kthrea
110;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;kthrotld
111;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;irq/26-aerdrv
112;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;irq/27-aerdrv
113;root;-51;0;0;0;0;S;0,0;0,0;0:00.00;irq/29-aerdrv
115;root;0;-20;0;0;0;I;0,0;0,0;0:00.00;acpi_thermal_pm
